iter	Passed	Remaining
0	0	70
1	1	66
2	2	65
3	2	61
4	3	60
5	3	60
6	4	60
7	5	59
8	5	59
9	6	58
10	7	57
11	7	57
12	8	56
13	9	56
14	9	56
15	10	55
16	11	54
17	11	54
18	12	53
19	13	53
20	13	52
21	14	51
22	15	50
23	15	50
24	16	49
25	17	48
26	17	48
27	18	47
28	19	46
29	19	46
30	20	45
31	21	45
32	21	44
33	22	43
34	23	43
35	23	42
36	24	41
37	25	41
38	25	40
39	26	39
40	27	39
41	27	38
42	28	37
43	28	36
44	29	36
45	30	35
46	30	34
47	31	34
48	32	33
49	32	32
50	33	32
51	34	31
52	34	30
53	35	30
54	35	29
55	36	28
56	37	28
57	37	27
58	38	26
59	39	26
60	39	25
61	40	24
62	41	24
63	41	23
64	42	22
65	43	22
66	43	21
67	44	20
68	45	20
69	45	19
70	46	18
71	47	18
72	47	17
73	48	16
74	49	16
75	49	15
76	50	15
77	50	14
78	51	13
79	52	13
80	53	12
81	54	11
82	54	11
83	55	10
84	56	10
85	57	9
86	58	8
87	59	8
88	59	7
89	60	6
90	61	6
91	61	5
92	62	4
93	63	4
94	63	3
95	64	2
96	65	2
97	65	1
98	66	0
99	67	0
