iter	Passed	Remaining
0	133	133498
1	134	67335
2	136	45257
3	140	34897
4	141	28224
5	143	23811
6	145	20597
7	146	18190
8	147	16292
9	149	14801
10	151	13596
11	153	12626
12	154	11742
13	156	11028
14	161	10580
15	163	10044
16	164	9529
17	166	9093
18	176	9134
19	178	8738
20	179	8382
21	182	8096
22	185	7886
23	190	7738
24	191	7486
25	193	7249
26	200	7208
27	205	7144
28	207	6942
29	208	6745
30	210	6569
31	211	6405
32	218	6398
33	219	6249
34	221	6102
35	222	5961
36	224	5836
37	239	6057
38	240	5937
39	242	5818
40	243	5706
41	246	5630
42	248	5526
43	249	5427
44	251	5331
45	252	5234
46	253	5142
47	254	5055
48	256	4986
49	260	4952
50	262	4876
51	264	4819
52	265	4746
53	266	4676
54	268	4616
55	273	4603
56	274	4542
57	275	4479
58	277	4418
59	286	4490
60	290	4464
61	291	4411
62	292	4354
63	293	4299
64	295	4246
65	296	4194
66	298	4150
67	301	4130
68	304	4111
69	306	4071
70	307	4029
71	309	3984
72	310	3943
73	321	4018
74	324	3997
75	325	3960
76	327	3921
77	334	3951
78	335	3915
79	337	3882
80	341	3869
81	342	3834
82	352	3896
83	354	3860
84	355	3826
85	356	3790
86	357	3756
87	361	3741
88	363	3716
89	366	3705
90	368	3679
91	369	3650
92	372	3632
93	376	3629
94	378	3601
95	379	3572
96	380	3542
97	384	3537
98	388	3535
99	392	3531
100	393	3506
101	395	3481
102	396	3454
103	397	3428
104	399	3403
105	411	3469
106	413	3451
107	415	3428
108	416	3406
109	422	3421
110	424	3398
111	425	3376
112	427	3352
113	428	3329
114	437	3363
115	441	3367
116	443	3344
117	444	3323
118	446	3303
119	449	3297
120	452	3289
121	453	3266
122	454	3243
123	456	3222
124	457	3201
125	458	3180
126	459	3158
127	475	3237
128	478	3233
129	484	3239
130	485	3220
131	487	3202
132	488	3182
133	489	3164
134	490	3145
135	497	3160
136	499	3143
137	500	3124
138	501	3107
139	502	3088
140	504	3075
141	505	3055
142	507	3043
143	510	3037
144	512	3024
145	515	3012
146	516	2997
147	517	2981
148	533	3049
149	535	3032
150	536	3017
151	537	2999
152	539	2987
153	543	2983
154	544	2967
155	545	2950
156	546	2933
157	547	2917
158	548	2902
159	549	2886
160	550	2868
161	551	2853
162	552	2838
163	557	2840
164	558	2828
165	560	2815
166	561	2800
167	562	2786
168	563	2773
169	565	2759
170	566	2746
171	567	2734
172	570	2728
173	572	2716
174	573	2704
175	575	2692
176	578	2690
177	579	2678
178	581	2666
179	582	2654
180	587	2660
181	589	2649
182	590	2638
183	592	2627
184	593	2615
185	595	2604
186	596	2593
187	597	2582
188	600	2576
189	606	2585
190	608	2575
191	612	2576
192	620	2593
193	621	2582
194	622	2571
195	625	2565
196	626	2554
197	628	2544
198	631	2542
199	635	2541
200	636	2530
201	638	2520
202	639	2510
203	640	2500
204	642	2491
205	652	2513
206	653	2504
207	655	2494
208	656	2485
209	658	2475
210	661	2472
211	664	2469
212	666	2461
213	677	2486
214	682	2490
215	685	2487
216	686	2478
217	688	2470
218	697	2487
219	701	2485
220	702	2477
221	714	2504
222	716	2496
223	718	2490
224	726	2500
225	729	2496
226	730	2489
227	734	2485
228	747	2515
229	748	2506
230	750	2497
231	757	2508
232	758	2498
233	760	2488
234	763	2485
235	764	2476
236	766	2468
237	772	2473
238	774	2465
239	775	2457
240	777	2448
241	779	2442
242	786	2449
243	787	2440
244	793	2445
245	795	2437
246	799	2436
247	802	2434
248	804	2425
249	806	2418
250	808	2412
251	812	2412
252	814	2403
253	815	2395
254	816	2386
255	846	2459
256	852	2463
257	868	2496
258	870	2490
259	875	2490
260	878	2488
261	881	2481
262	901	2526
263	912	2542
264	914	2535
265	920	2541
266	922	2533
267	924	2525
268	927	2520
269	929	2514
270	933	2511
271	935	2502
272	937	2495
273	938	2487
274	939	2478
275	948	2487
276	950	2481
277	951	2472
278	953	2462
279	954	2453
280	955	2445
281	957	2437
282	960	2433
283	963	2429
284	965	2421
285	966	2413
286	967	2404
